Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 037C  ... ..  00 0000 810 | 037C  ... ..  00 0000 810 | 037C  ... ..  00 0000 810 | 1100 00 Off F |
|     1 | 029E  ... ..  .. .... 818 | 029E  ... ..  .. .... 818 | 029E  ... ..  .. .... 818 | 1900 .. ... . |
|     2 | 0235  ... ..  .. .... 820 | 0235  ... ..  .. .... 820 | 0235  ... ..  .. .... 820 | 2100 .. ... . |
|     3 | 01C2  ... ..  .. .... 828 | 01C2  ... ..  .. .... 828 | 01C2  ... ..  .. .... 828 | 2900 .. ... . |
|     4 | 037C  ... ..  .. .... 830 | 037C  ... ..  .. .... 830 | 037C  ... ..  .. .... 830 | 3100 .. ... . |
|     5 | 029E  ... ..  .. .... 838 | 029E  ... ..  .. .... 838 | 029E  ... ..  .. .... 838 | 3900 .. ... . |
|     6 | 0235  ... ..  .. .... 840 | 0235  ... ..  .. .... 840 | 0235  ... ..  .. .... 840 | 4100 .. ... . |
|     7 | 0AF7  E-3 A8  41 0FF8 900 | 1D45  A-4 B9  41 0506 800 | 2E76  F-5 C1  41 0809 900 | 4900 08 ... . |
|     8 | ....  ... ..  .. .... ... | 1B46 (G#4 B8) .. .... ... | 22CF (C-5 BC) .. .... 930 | 3F00 .. ... . |
|     9 | ....  ... ..  .. .... ... | 1947 (F#4 B6) .. .... ... | 1D45 (A-4 B9) .. .... 960 | 3700 .. ... . |
|    10 | ....  ... ..  80 .... ... | 1748 (F-4 B5) .. .... ... | 173B (F-4 B5) .. .... 990 | 3F00 .. ... . |
|    11 | D4C8 (G-7 DB) .. .... ... | 1549 (D#4 B3) .. .... ... | 2E76 (F-5 C1) .. .... 9C0 | 2700 .. ... . |
|    12 | D40D (- 00BB) .. .... ... | 134A (D-4 B2) .. .... ... | 22CF (C-5 BC) .. .... 9F0 | 1D00 .. ... . |
|    13 | D4C8 (+ 00BB) .. .... ... | 114B (C-4 B0) .. .... ... | 1D45 (A-4 B9) .. .... A20 | 1500 .. ... . |
|    14 | D40D (- 00BB) .. .... ... | 0F4C (A#3 AE) .. .... ... | 173B (F-4 B5) .. .... A50 | 1D00 .. ... . |
|    15 | 0AF7 (E-3 A8) .. .... ... | 0D4D (G-3 AB) .. .... ... | 2E76 (F-5 C1) .. .... A80 | 0500 .. ... . |
|    16 | ....  ... ..  .. .... ... | 0B4E (F-3 A9) .. .... ... | 22CF (C-5 BC) .. .... AB0 | .... .. ... . |
|    17 | ....  ... ..  .. .... ... | 094F (C#3 A5) .. .... ... | 1D45 (A-4 B9) .. .... AE0 | .... .. ... . |
|    18 | ....  ... ..  .. .... ... | 0750 (A-2 A1) .. .... ... | 173B (F-4 B5) .. .... B10 | .... .. ... . |
