Load address: $5000 Init address: $5FB2 Play address: $5012
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | AF58  E-7 D8  15 0DFB 180 | 0000  C-0 80  43 0FC4 200 | 03A9  A-1 95  41 099F 180 | 0000 00 Off F |
|     1 | 0303 (F#1 92) 80 .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 196 | .... .. ... . |
|     2 | AF58 (E-7 D8) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 1AC | .... .. ... . |
|     3 | 0303 (F#1 92) 14 .... ... | ....  ... ..  42 0000 ... | ....  ... ..  .. .... 1C2 | .... .. ... . |
|     4 | AF58 (E-7 D8) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 1D8 | .... .. ... . |
|     5 | 0303 (F#1 92) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 1EE | .... .. ... . |
|     6 | AF58 (E-7 D8) .. .... ... | 4315  B-5 C7  43 0FC4 ... | ....  ... ..  .. .... 104 | .... .. ... . |
|     7 | 0305 (F#1 92) .. .... ... | ....  ... ..  80 .... ... | ....  ... ..  .. .... 11A | .... .. ... . |
|     8 | AF58 (E-7 D8) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 130 | .... .. ... . |
|     9 | 0305 (F#1 92) .. 0000 ... | ....  ... ..  42 0000 ... | ....  ... ..  .. .... 146 | .... .. ... . |
|    10 | AF58 (E-7 D8) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 15C | .... .. ... . |
|    11 | 0305 (F#1 92) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 172 | .... .. ... . |
|    12 | 7518  A-6 D1  15 0DFB ... | 4315  B-5 C7  43 0FC4 ... | ....  ... ..  .. .... 188 | .... .. ... . |
|    13 | EA30 (A-7 DD) 80 .... ... | ....  ... ..  80 .... ... | ....  ... ..  .. .... 19E | .... .. ... . |
|    14 | 7518 (A-6 D1) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 1B4 | .... .. ... . |
|    15 | EA30 (A-7 DD) 14 .... ... | ....  ... ..  42 0000 ... | ....  ... ..  40 0000 1CA | .... .. ... . |
|    16 | 7518 (A-6 D1) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 1E0 | .... .. ... . |
|    17 | EA30 (A-7 DD) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 1F6 | .... .. ... . |
|    18 | 7518 (A-6 D1) .. .... ... | 4315  B-5 C7  43 0FC4 ... | 0751  A-2 A1  41 099F ... | .... .. ... . |
|    19 | EA30 (A-7 DD) .. .... ... | ....  ... ..  80 .... ... | ....  ... ..  .. .... 10C | .... .. ... . |
|    20 | 7518 (A-6 D1) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 122 | .... .. ... . |
|    21 | EA30 (A-7 DD) .. 0000 ... | ....  ... ..  42 0000 ... | ....  ... ..  40 0000 138 | .... .. ... . |
|    22 | 7518 (A-6 D1) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 14E | .... .. ... . |
|    23 | EA30 (A-7 DD) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... 164 | .... .. ... . |
|    24 | 1D46  A-4 B9  41 064B ... | 15EB  E-4 B4  41 064B 180 | 0F82  A#3 AE  81 0A09 200 | .... .. ... . |
|    25 | 3A8C (A-5 C5) 80 .... ... | 2BD6 (E-5 C0) 80 .... ... | 1F04 (A#4 BA) 80 .... ... | .... .. ... . |
|    26 | 1D46 (A-4 B9) .. .... ... | 15EB (E-4 B4) .. .... ... | 0F82 (A#3 AE) .. .... ... | .... .. ... . |
|    27 | 3A8C (A-5 C5) 40 .... ... | 2BD6 (E-5 C0) 40 .... ... | 1F04 (A#4 BA) .. .... ... | .... .. ... . |
