Load address: $A600 Init address: $A600 Play address: $A603
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0470  C-2 98  41 0889 500 | 1A9C  G-4 B7  21 00C8 400 | 070C  G#2 A0  11 00A8 800 | FF00 82 Low F |
|     1 | FACF (A#7 DE) 81 .... 570 | 2A3E (D#5 BF) 41 .... 430 | 3400 (G-5 C3) 81 .... ... | A000 .. L+B . |
|     2 | 052E (D#2 9B) 41 .... 5E0 | 2386 (C-5 BC) .. .... 460 | 0A00 (D-3 A6) 41 .... ... | 9E00 .. ... . |
|     3 | 058D (E-2 9C) .. .... 650 | 1A9C (G-4 B7) .. .... 490 | 0800 (B-2 A3) 40 .... ... | 9C00 .. ... . |
|     4 | 05EC (F-2 9D) .. .... 6B0 | 2A3E (D#5 BF) .. .... 4C0 | 0600 (F#2 9E) .. .... ... | 9A00 .. ... . |
|     5 | 064B (F#2 9E) .. .... 710 | 1A9C (G-4 B7) 21 .... 4F0 | 0400 (B-1 97) .. .... ... | 9800 .. ... . |
|     6 | 06AA (G-2 9F) .. .... 770 | ....  ... ..  .. .... 520 | 0500 (D-2 9A) .. .... ... | 9600 .. ... . |
|     7 | 0709 (G#2 A0) .. .... 7C0 | 2A3E (D#5 BF) .. .... 5A0 | 0600 (F#2 9E) .. .... ... | 9400 .. ... . |
|     8 | 0768 (A-2 A1) .. .... 810 | 2386 (C-5 BC) .. .... 620 | 0500 (D-2 9A) .. .... ... | 9200 .. ... . |
|     9 | 07C7 (A#2 A2) .. .... 860 | 1A9C (G-4 B7) .. .... 6A0 | 0400 (B-1 97) .. .... ... | 9000 .. ... . |
|    10 | 0826 (B-2 A3) .. .... 8C0 | 2A3E (D#5 BF) .. .... 720 | 0500 (D-2 9A) .. .... ... | 8E00 .. ... . |
|    11 | 0885 (C-3 A4) .. .... 920 | 2386 (C-5 BC) .. .... 7A0 | ....  ... ..  .. .... ... | 8C00 .. ... . |
|    12 | 08E1 (+ 005C) .. .... 980 | 1A9C (G-4 B7) .. .... 820 | ....  ... ..  .. .... ... | 8A00 .. ... . |
|    13 | ....  ... ..  .. .... 9E0 | 2A3E (D#5 BF) .. .... 8A0 | ....  ... ..  .. .... ... | 8800 .. ... . |
|    14 | 08F1 (+ 0010) .. .... A40 | 2386 (C-5 BC) .. .... 920 | ....  ... ..  .. .... ... | 8600 .. ... . |
|    15 | 0901 (C#3 A5) .. .... AA0 | 1A9C (G-4 B7) .. .... 9A0 | ....  ... ..  .. .... ... | 8400 .. ... . |
|    16 | 0911 (+ 0010) .. .... B00 | 2A3E (D#5 BF) .. .... A20 | ....  ... ..  .. .... ... | 8200 .. ... . |
|    17 | 0901 (- 0010) .. .... B60 | 2386 (C-5 BC) .. .... AA0 | ....  ... ..  .. .... ... | 8000 .. ... . |
|    18 | 08F1 (C-3 A4) .. .... BC0 | 1A9C (G-4 B7) .. .... B20 | ....  ... ..  .. .... ... | 7E00 .. ... . |
|    19 | 08E1 (- 0010) .. .... C20 | 2A3E (D#5 BF) .. .... BA0 | ....  ... ..  .. .... ... | 7C00 .. ... . |
|    20 | 08D1 (- 0010) .. .... C80 | 2386 (C-5 BC) .. .... C20 | ....  ... ..  .. .... ... | 7A00 .. ... . |
|    21 | 08C1 (- 0010) .. .... CE0 | 1A9C (G-4 B7) .. .... BA0 | ....  ... ..  .. .... ... | 7800 .. ... . |
|    22 | 08D1 (+ 0010) .. .... D40 | 2A3E (D#5 BF) .. .... B20 | ....  ... ..  .. .... ... | 7600 .. ... . |
|    23 | 08E1 (+ 0010) .. .... CE0 | 2386 (C-5 BC) .. .... AA0 | ....  ... ..  .. .... ... | 7400 .. ... . |
|    24 | 08F1 (+ 0010) .. .... C80 | 1A9C (G-4 B7) .. .... A20 | 0E18  G#3 AC  11 .... ... | 7200 .. ... . |
|    25 | 0901 (C#3 A5) .. .... C20 | 2A3E (D#5 BF) .. .... 9A0 | 3400 (G-5 C3) 81 .... ... | 7000 .. ... . |
|    26 | 0911 (+ 0010) .. .... BC0 | 2386 (C-5 BC) .. .... 920 | 0A00 (D-3 A6) 41 .... ... | 6E00 .. ... . |
|    27 | 0901 (- 0010) .. .... B60 | 1A9C (G-4 B7) .. .... 8A0 | 0800 (B-2 A3) 40 .... ... | 6C00 .. ... . |
|    28 | 08F1 (C-3 A4) .. .... B00 | 2A3E (D#5 BF) .. .... 820 | 0600 (F#2 9E) .. .... ... | 6A00 .. ... . |
|    29 | 08E1 (- 0010) .. .... AA0 | 2386 (C-5 BC) .. .... 7A0 | 0400 (B-1 97) .. .... ... | 6800 .. ... . |
|    30 | 08D1 (- 0010) .. .... A40 | 1A9C (G-4 B7) .. .... 720 | 0500 (D-2 9A) .. .... ... | 6600 .. ... . |
|    31 | 08C1 (- 0010) .. .... 9E0 | 2A3E (D#5 BF) .. .... 6A0 | 0600 (F#2 9E) .. .... ... | 6400 .. ... . |
|    32 | 08D1 (+ 0010) .. .... 980 | 2386 (C-5 BC) .. .... 620 | 0500 (D-2 9A) .. .... ... | 6200 .. ... . |
|    33 | 08E1 (+ 0010) .. .... 920 | 1A9C (G-4 B7) .. .... 5A0 | 0400 (B-1 97) .. .... ... | 6000 .. ... . |
|    34 | 08F1 (+ 0010) .. .... 8C0 | 2A3E (D#5 BF) .. .... 520 | 0500 (D-2 9A) .. .... ... | 6100 .. ... . |
|    35 | 0901 (C#3 A5) .. .... 860 | 2386 (C-5 BC) .. .... 4A0 | ....  ... ..  .. .... ... | 6200 .. ... . |
|    36 | 0911 (+ 0010) .. .... 800 | 1A9C (G-4 B7) .. .... 420 | ....  ... ..  .. .... ... | 6300 .. ... . |
|    37 | 0901 (- 0010) .. .... 7A0 | 2A3E (D#5 BF) .. .... 3A0 | ....  ... ..  .. .... ... | 6400 .. ... . |
|    38 | 08F1 (C-3 A4) .. .... 740 | 2386 (C-5 BC) .. .... 420 | ....  ... ..  .. .... ... | 6500 .. ... . |
|    39 | 08E1 (- 0010) .. .... 6E0 | 1A9C (G-4 B7) .. .... 4A0 | ....  ... ..  .. .... ... | 6600 .. ... . |
|    40 | 08D1 (- 0010) .. .... 740 | 2A3E (D#5 BF) .. .... 520 | ....  ... ..  .. .... ... | 6700 .. ... . |
|    41 | 08C1 (- 0010) .. .... 7A0 | 2386 (C-5 BC) .. .... 5A0 | ....  ... ..  .. .... ... | 6800 .. ... . |
|    42 | 08D1 (+ 0010) .. .... 800 | 1A9C (G-4 B7) .. .... 620 | ....  ... ..  .. .... ... | 6900 .. ... . |
|    43 | 08E1 (+ 0010) .. .... 860 | 2A3E (D#5 BF) .. .... 6A0 | ....  ... ..  .. .... ... | 6A00 .. ... . |
|    44 | 08F1 (+ 0010) .. .... 8C0 | 2386 (C-5 BC) .. .... 720 | ....  ... ..  .. .... ... | 6B00 .. ... . |
|    45 | 0901 (C#3 A5) .. .... 920 | 1A9C (G-4 B7) .. .... 7A0 | ....  ... ..  .. .... ... | 6C00 .. ... . |
|    46 | 0911 (+ 0010) .. .... 980 | 2A3E (D#5 BF) .. .... 820 | ....  ... ..  .. .... ... | 6D00 .. ... . |
|    47 | 0901 (- 0010) .. .... 9E0 | 2386 (C-5 BC) .. .... 8A0 | ....  ... ..  .. .... ... | 6E00 .. ... . |
|    48 | 08F1 (C-3 A4) .. .... A40 | 1A9C (G-4 B7) .. .... 920 | 070C  G#2 A0  11 .... ... | 6F00 .. ... . |
|    49 | 08E1 (- 0010) .. .... AA0 | 2A3E (D#5 BF) .. .... 9A0 | 3400 (G-5 C3) 81 .... ... | 7000 .. ... . |
|    50 | 08D1 (- 0010) .. .... B00 | 2386 (C-5 BC) .. .... A20 | 0A00 (D-3 A6) 41 .... ... | 7100 .. ... . |
|    51 | 08C1 (- 0010) .. .... B60 | 1A9C (G-4 B7) .. .... AA0 | 0800 (B-2 A3) 40 .... ... | 7200 .. ... . |
|    52 | 08D1 (+ 0010) .. .... BC0 | 2A3E (D#5 BF) .. .... B20 | 0600 (F#2 9E) .. .... ... | 7300 .. ... . |
|    53 | 08E1 (+ 0010) .. .... C20 | 2386 (C-5 BC) .. .... BA0 | 0400 (B-1 97) .. .... ... | 7400 .. ... . |
|    54 | 08F1 (+ 0010) .. .... C80 | 1A9C (G-4 B7) .. .... C20 | 0500 (D-2 9A) .. .... ... | 7500 .. ... . |
|    55 | 0901 (C#3 A5) .. .... CE0 | 2A3E (D#5 BF) .. .... BA0 | 0600 (F#2 9E) .. .... ... | 7600 .. ... . |
|    56 | 0911 (+ 0010) .. .... D40 | 2386 (C-5 BC) .. .... B20 | 0500 (D-2 9A) .. .... ... | 7700 .. ... . |
|    57 | 0901 (- 0010) .. .... CE0 | 1A9C (G-4 B7) .. .... AA0 | 0400 (B-1 97) .. .... ... | 7800 .. ... . |
|    58 | 08F1 (C-3 A4) .. .... C80 | 2A3E (D#5 BF) .. .... A20 | 0500 (D-2 9A) .. .... ... | 7900 .. ... . |
|    59 | 08E1 (- 0010) .. .... C20 | 2386 (C-5 BC) .. .... 9A0 | ....  ... ..  .. .... ... | 7A00 .. ... . |
|    60 | 08D1 (- 0010) .. .... BC0 | 1A9C (G-4 B7) .. .... 920 | ....  ... ..  .. .... ... | 7B00 .. ... . |
|    61 | 08C1 (- 0010) .. .... B60 | 2A3E (D#5 BF) .. .... 8A0 | ....  ... ..  .. .... ... | 7C00 .. ... . |
|    62 | 08D1 (+ 0010) .. .... B00 | 2386 (C-5 BC) .. .... 820 | ....  ... ..  .. .... ... | 7D00 .. ... . |
|    63 | 08E1 (+ 0010) .. .... AA0 | 1A9C (G-4 B7) .. .... 7A0 | ....  ... ..  .. .... ... | 7E00 .. ... . |
|    64 | 08F1 (+ 0010) .. .... A40 | 2A3E (D#5 BF) .. .... 720 | ....  ... ..  .. .... ... | 7F00 .. ... . |
