Load address: $87E8 Init address: $87E8 Play address: $87F4
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0AF7  ... ..  01 00E8 800 | 14B2  D#4 B3  51 CCDF 400 | 0000  ... ..  00 0000 000 | 0000 00 Low F |
|     1 | 3100  F#5 C2  81 .... 880 | 2965 (D#5 BF) .. .... ... | 00EA (+ 00EA) 10 .... 800 | .... .. ... . |
|     2 | 0B00 (E-3 A8) 41 .... ... | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     3 | 0296 (D#1 8F) .. 09DE 800 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     4 | ....  ... ..  .. .... 890 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     5 | ....  ... ..  .. .... 8C0 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     6 | ....  ... ..  40 .... 8F0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     7 | ....  ... ..  .. .... 920 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     8 | ....  ... ..  .. .... 950 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     9 | ....  ... ..  .. .... 980 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    10 | ....  ... ..  .. .... 9B0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    11 | ....  ... ..  .. .... 9E0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    12 | ....  ... ..  .. .... A10 | 14B2 (D#4 B3) .. .... ... | 20DB  B-4 BB  41 00DA ... | .... .. ... . |
|    13 | ....  ... ..  .. .... A40 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    14 | ....  ... ..  .. .... A70 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    15 | ....  ... ..  .. .... AA0 | 189D (F#4 B6) .. .... ... | ....  ... ..  40 .... ... | .... .. ... . |
|    16 | ....  ... ..  .. .... AD0 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    17 | ....  ... ..  .. .... B00 | 2965 (D#5 BF) .. .... ... | ....  ... ..  10 .... ... | .... .. ... . |
|    18 | ....  ... ..  .. .... B30 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    19 | ....  ... ..  .. .... B60 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    20 | 029A (+ 0004) .. .... B90 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    21 | 029E (+ 0004) .. .... BC0 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. 0002 ... | .... .. ... . |
|    22 | 02A2 (+ 0004) .. .... BF0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    23 | 029E (- 0004) .. .... C20 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    24 | 029A (- 0004) .. .... C50 | 14B2 (D#4 B3) .. .... ... | 24E1  C#5 BD  41 00DA ... | .... .. ... . |
|    25 | 0296 (- 0004) .. .... C80 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    26 | 0292 (- 0004) .. .... CB0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    27 | 028E (- 0004) .. .... CE0 | 189D (F#4 B6) .. .... ... | ....  ... ..  40 .... ... | .... .. ... . |
|    28 | 0292 (+ 0004) .. .... D10 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    29 | 0296 (+ 0004) .. .... D40 | 2965 (D#5 BF) .. .... ... | ....  ... ..  10 .... ... | .... .. ... . |
|    30 | 029A (+ 0004) .. .... D70 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    31 | 029E (+ 0004) .. .... DA0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    32 | 02A2 (+ 0004) .. .... DD0 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    33 | 029E (- 0004) .. .... E00 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. 0002 ... | .... .. ... . |
|    34 | 029A (- 0004) .. .... E30 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    35 | 0296 (- 0004) .. .... E60 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    36 | 0292 (- 0004) .. .... E90 | 14B2 (D#4 B3) .. .... ... | 2965  D#5 BF  41 00DA ... | .... .. ... . |
|    37 | 028E (- 0004) .. .... EC0 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    38 | 0292 (+ 0004) .. .... EF0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    39 | 0296 (+ 0004) .. .... F20 | 189D (F#4 B6) .. .... ... | ....  ... ..  40 .... ... | .... .. ... . |
|    40 | 029A (+ 0004) .. .... F50 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    41 | 029E (+ 0004) .. .... F80 | 2965 (D#5 BF) .. .... ... | ....  ... ..  10 .... ... | .... .. ... . |
|    42 | 02A2 (+ 0004) .. .... FB0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    43 | 029E (- 0004) .. .... FE0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    44 | 029A (- 0004) .. .... 010 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    45 | 0296 (- 0004) .. .... 040 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. 0002 ... | .... .. ... . |
|    46 | 0292 (- 0004) .. .... 070 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    47 | 028E (- 0004) .. .... 0A0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    48 | 0292 (+ 0004) .. .... 0D0 | 14B2 (D#4 B3) .. .... ... | 313A  F#5 C2  41 00DA ... | .... .. ... . |
|    49 | 0296 (+ 0004) .. .... 100 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    50 | 029A (+ 0004) .. .... 130 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    51 | 029E (+ 0004) .. .... 160 | 189D (F#4 B6) .. .... ... | ....  ... ..  40 .... ... | .... .. ... . |
|    52 | 02A2 (+ 0004) .. .... 190 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    53 | 029E (- 0004) .. .... 1C0 | 2965 (D#5 BF) .. .... ... | ....  ... ..  10 .... ... | .... .. ... . |
|    54 | 029A (- 0004) .. .... 1F0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    55 | 0296 (- 0004) .. .... 220 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    56 | 0292 (- 0004) .. .... 250 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    57 | 028E (- 0004) .. .... 280 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    58 | 0292 (+ 0004) .. .... 2B0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    59 | 0296 (+ 0004) .. .... 2E0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    60 | 029A (+ 0004) .. .... 310 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    61 | 029E (+ 0004) .. .... 340 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    62 | 02A2 (+ 0004) .. .... 370 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    63 | 029E (- 0004) .. .... 3A0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    64 | 029A (- 0004) .. .... 3D0 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    65 | 0296 (- 0004) .. .... 400 | 2965 (D#5 BF) .. .... ... | 3192 (+ 0058) .. .... ... | .... .. ... . |
|    66 | 0292 (- 0004) .. .... 430 | 1F03 (A#4 BA) .. .... ... | 31EA (+ 0058) .. .... ... | .... .. ... . |
|    67 | 028E (- 0004) .. .... 460 | 189D (F#4 B6) .. .... ... | 3242 (+ 0058) .. .... ... | .... .. ... . |
|    68 | 0292 (+ 0004) .. .... 490 | 14B2 (D#4 B3) .. .... ... | 31EA (- 0058) .. .... ... | .... .. ... . |
|    69 | 0296 (+ 0004) .. 0902 4C0 | 2965 (D#5 BF) .. .... ... | 3192 (- 0058) .. 0002 ... | .... .. ... . |
|    70 | 029A (+ 0004) .. .... 4F0 | 1F03 (A#4 BA) .. .... ... | 313A (- 0058) .. .... ... | .... .. ... . |
|    71 | 029E (+ 0004) .. .... 520 | 189D (F#4 B6) .. .... ... | 30E2 (- 0058) .. .... ... | .... .. ... . |
|    72 | 0AF7  ... ..  01 00E8 800 | 14B2 (D#4 B3) .. .... ... | 2E76  F-5 C1  41 00DA ... | .... .. ... . |
|    73 | 3100  F#5 C2  81 .... 880 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    74 | 0B00 (E-3 A8) 41 .... ... | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    75 | 024E (C#1 8D) .. 09DE 800 | 189D (F#4 B6) .. .... ... | ....  ... ..  40 .... ... | .... .. ... . |
|    76 | ....  ... ..  .. .... 890 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    77 | ....  ... ..  .. .... 8C0 | 2965 (D#5 BF) .. .... ... | ....  ... ..  10 .... ... | .... .. ... . |
|    78 | ....  ... ..  40 .... 8F0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    79 | ....  ... ..  .. .... 920 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    80 | ....  ... ..  .. .... 950 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    81 | ....  ... ..  .. .... 980 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. 0002 ... | .... .. ... . |
|    82 | ....  ... ..  .. .... 9B0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    83 | ....  ... ..  .. .... 9E0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    84 | ....  ... ..  .. .... A10 | 14B2 (D#4 B3) .. .... ... | 24E1  C#5 BD  41 00DA ... | .... .. ... . |
|    85 | ....  ... ..  .. .... A40 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    86 | ....  ... ..  .. .... A70 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    87 | ....  ... ..  .. .... AA0 | 189D (F#4 B6) .. .... ... | ....  ... ..  40 .... ... | .... .. ... . |
|    88 | ....  ... ..  .. .... AD0 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    89 | ....  ... ..  .. .... B00 | 2965 (D#5 BF) .. .... ... | ....  ... ..  10 .... ... | .... .. ... . |
|    90 | ....  ... ..  .. .... B30 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    91 | ....  ... ..  .. .... B60 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    92 | 0252 (+ 0004) .. .... B90 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    93 | 0256 (+ 0004) .. 0902 BC0 | 2965 (D#5 BF) 50 .... ... | ....  ... ..  .. 0002 ... | .... .. ... . |
|    94 | 025A (+ 0004) .. .... BF0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    95 | 0256 (- 0004) .. .... C20 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    96 | 0AF7  ... ..  01 00E8 800 | 14B2  D#4 B3  51 00DC 000 | 2965  D#5 BF  41 00DA ... | .... .. ... . |
|    97 | 3100  F#5 C2  81 .... 880 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    98 | 0B00 (E-3 A8) 41 .... ... | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    99 | 0296 (D#1 8F) .. 09DE 800 | 189D (F#4 B6) 50 .... ... | ....  ... ..  40 .... ... | .... .. ... . |
|   100 | ....  ... ..  .. .... 890 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   101 | ....  ... ..  .. .... 8C0 | 2965 (D#5 BF) .. .... ... | ....  ... ..  10 .... ... | .... .. ... . |
|   102 | ....  ... ..  40 .... 8F0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   103 | ....  ... ..  .. .... 920 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   104 | ....  ... ..  .. .... 950 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   105 | ....  ... ..  .. .... 980 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   106 | ....  ... ..  .. .... 9B0 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   107 | ....  ... ..  .. .... 9E0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   108 | ....  ... ..  .. .... A10 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   109 | ....  ... ..  .. .... A40 | 2965 (D#5 BF) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   110 | ....  ... ..  .. .... A70 | 1F03 (A#4 BA) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   111 | ....  ... ..  .. .... AA0 | 189D (F#4 B6) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   112 | ....  ... ..  .. .... AD0 | 14B2 (D#4 B3) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   113 | ....  ... ..  .. .... B00 | 2965 (D#5 BF) .. .... ... | 29AF (+ 004A) .. .... ... | .... .. ... . |
|   114 | ....  ... ..  .. .... B30 | 1F03 (A#4 BA) .. .... ... | 29F9 (+ 004A) .. .... ... | .... .. ... . |
|   115 | ....  ... ..  .. .... B60 | 189D (F#4 B6) .. .... ... | 2A43 (+ 004A) .. .... ... | .... .. ... . |
|   116 | 029A (+ 0004) .. .... B90 | 14B2 (D#4 B3) .. .... ... | 29F9 (- 004A) .. .... ... | .... .. ... . |
|   117 | 029E (+ 0004) .. 0902 BC0 | 2965 (D#5 BF) .. .... ... | 29AF (- 004A) .. .... ... | .... .. ... . |
|   118 | 02A2 (+ 0004) .. .... BF0 | 1F03 (A#4 BA) .. .... ... | 2965 (- 004A) .. .... ... | .... .. ... . |
|   119 | 029E (- 0004) .. .... C20 | 189D (F#4 B6) .. .... ... | 291B (- 004A) .. .... ... | .... .. ... . |
|   120 | 6273  F#6 CE  11 0909 000 | 14B2 (D#4 B3) .. .... ... | 28D1 (- 004A) .. .... ... | .... .. ... . |
|   121 | ....  ... ..  .. .... ... | 2965 (D#5 BF) .. .... ... | 291B (+ 004A) .. .... ... | .... .. ... . |
|   122 | ....  ... ..  .. .... ... | 1F03 (A#4 BA) .. .... ... | 2965 (+ 004A) .. .... ... | .... .. ... . |
|   123 | ....  ... ..  .. .... ... | 189D (F#4 B6) .. .... ... | 29AF (+ 004A) .. .... ... | .... .. ... . |
|   124 | ....  ... ..  .. .... ... | 14B2 (D#4 B3) .. .... ... | 29F9 (+ 004A) .. .... ... | .... .. ... . |
|   125 | ....  ... ..  .. .... ... | 2965 (D#5 BF) .. .... ... | 2A43 (+ 004A) .. .... ... | .... .. ... . |
|   126 | ....  ... ..  .. .... ... | 1F03 (A#4 BA) .. .... ... | 29F9 (- 004A) .. .... ... | .... .. ... . |
|   127 | ....  ... ..  .. .... ... | 189D (F#4 B6) .. .... ... | 29AF (- 004A) .. .... ... | .... .. ... . |
|   128 | ....  ... ..  .. .... ... | 14B2 (D#4 B3) .. .... ... | 2965 (- 004A) .. .... ... | .... .. ... . |
