Load address: $1800 Init address: $1800 Play address: $1806
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 070C  G#2 A0  41 19FD 100 | 010C  ... ..  00 0000 000 | 010C  ... ..  00 0000 000 | 0000 00 Low F |
|     1 | 4800 (C#6 C9) 81 .... 122 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | FF00 .. ... . |
|     2 | 070C (G#2 A0) 40 .... 144 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     3 | ....  ... ..  .. .... 166 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     4 | ....  ... ..  .. .... 188 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     5 | ....  ... ..  .. .... 1AA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     6 | ....  ... ..  .. .... 1CC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     7 | ....  ... ..  .. .... 1EE | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     8 | ....  ... ..  .. .... 210 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     9 | ....  ... ..  .. .... 232 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    10 | ....  ... ..  .. .... 254 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    11 | ....  ... ..  .. .... 276 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    12 | ....  ... ..  .. .... 298 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    13 | ....  ... ..  .. .... 2BA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    14 | ....  ... ..  .. .... 2DC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    15 | ....  ... ..  .. .... 2FE | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    16 | ....  ... ..  .. .... 320 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    17 | ....  ... ..  .. .... 342 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    18 | ....  ... ..  .. .... 364 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    19 | ....  ... ..  .. .... 386 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    20 | ....  ... ..  .. .... 3A8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    21 | ....  ... ..  .. .... 3CA | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    22 | ....  ... ..  .. .... 3EC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    23 | ....  ... ..  .. .... 40E | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    24 | ....  ... ..  .. .... 430 | 151F  D#4 B3  41 0DFA 400 | 0A8F  D#3 A7  41 0DFA 400 | .... .. ... . |
|    25 | ....  ... ..  .. .... 452 | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... 4A0 | .... .. ... . |
|    26 | ....  ... ..  .. .... 474 | ....  ... ..  40 .... 540 | ....  ... ..  40 .... 540 | .... .. ... . |
|    27 | ....  ... ..  .. .... 496 | ....  ... ..  .. .... 5E0 | ....  ... ..  .. .... 5E0 | .... .. ... . |
|    28 | ....  ... ..  .. .... 4B8 | ....  ... ..  .. .... 680 | ....  ... ..  .. .... 680 | .... .. ... . |
|    29 | ....  ... ..  .. .... 4DA | ....  ... ..  .. .... 6E0 | ....  ... ..  .. .... 6E0 | .... .. ... . |
|    30 | ....  ... ..  .. .... 4FC | ....  ... ..  .. .... 740 | ....  ... ..  .. .... 740 | .... .. ... . |
|    31 | ....  ... ..  .. .... 51E | ....  ... ..  .. .... 7A0 | ....  ... ..  .. .... 7A0 | .... .. ... . |
|    32 | ....  ... ..  .. .... 540 | ....  ... ..  .. .... 800 | ....  ... ..  .. .... 800 | .... .. ... . |
|    33 | ....  ... ..  .. .... 562 | ....  ... ..  .. .... 840 | ....  ... ..  .. .... 840 | .... .. ... . |
|    34 | ....  ... ..  .. .... 584 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... 880 | .... .. ... . |
|    35 | ....  ... ..  .. .... 5A6 | ....  ... ..  .. .... 8C0 | ....  ... ..  .. .... 8C0 | .... .. ... . |
|    36 | ....  ... ..  .. .... 5C8 | 12D1  C#4 B1  41 .... 400 | 0968  C#3 A5  41 .... 400 | .... .. ... . |
|    37 | ....  ... ..  .. .... 5EA | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... 4A0 | .... .. ... . |
|    38 | ....  ... ..  .. .... 60C | ....  ... ..  40 .... 540 | ....  ... ..  40 .... 540 | .... .. ... . |
|    39 | ....  ... ..  .. .... 62E | ....  ... ..  .. .... 5E0 | ....  ... ..  .. .... 5E0 | .... .. ... . |
|    40 | ....  ... ..  .. .... 650 | ....  ... ..  .. .... 680 | ....  ... ..  .. .... 680 | .... .. ... . |
|    41 | ....  ... ..  .. .... 672 | ....  ... ..  .. .... 6E0 | ....  ... ..  .. .... 6E0 | .... .. ... . |
|    42 | ....  ... ..  .. .... 694 | ....  ... ..  .. .... 740 | ....  ... ..  .. .... 740 | .... .. ... . |
|    43 | ....  ... ..  .. .... 6B6 | ....  ... ..  .. .... 7A0 | ....  ... ..  .. .... 7A0 | .... .. ... . |
|    44 | ....  ... ..  .. .... 6D8 | ....  ... ..  .. .... 800 | ....  ... ..  .. .... 800 | .... .. ... . |
|    45 | ....  ... ..  .. .... 6FA | ....  ... ..  .. .... 840 | ....  ... ..  .. .... 840 | .... .. ... . |
|    46 | ....  ... ..  .. .... 71C | ....  ... ..  .. .... 880 | ....  ... ..  .. .... 880 | .... .. ... . |
|    47 | ....  ... ..  .. .... 73E | ....  ... ..  .. .... 8C0 | ....  ... ..  .. .... 8C0 | .... .. ... . |
|    48 | ....  ... ..  .. .... 760 | ....  ... ..  .. .... 900 | ....  ... ..  .. .... 900 | .... .. ... . |
|    49 | ....  ... ..  .. .... 782 | ....  ... ..  .. .... 940 | ....  ... ..  .. .... 940 | .... .. ... . |
|    50 | ....  ... ..  .. .... 7A4 | ....  ... ..  .. .... 980 | ....  ... ..  .. .... 980 | .... .. ... . |
|    51 | ....  ... ..  .. .... 7C6 | ....  ... ..  .. .... 9C0 | ....  ... ..  .. .... 9C0 | .... .. ... . |
|    52 | ....  ... ..  .. .... 82A | ....  ... ..  .. .... A00 | ....  ... ..  .. .... A00 | .... .. ... . |
|    53 | ....  ... ..  .. .... 88E | ....  ... ..  .. .... A40 | ....  ... ..  .. .... A40 | .... .. ... . |
|    54 | ....  ... ..  .. .... 8F2 | ....  ... ..  .. .... A80 | ....  ... ..  .. .... A80 | .... .. ... . |
|    55 | ....  ... ..  .. .... 956 | ....  ... ..  .. .... AC0 | ....  ... ..  .. .... AC0 | .... .. ... . |
|    56 | ....  ... ..  .. .... 9BA | ....  ... ..  .. .... B00 | ....  ... ..  .. .... B00 | .... .. ... . |
|    57 | ....  ... ..  .. .... A1E | ....  ... ..  .. .... B40 | ....  ... ..  .. .... B40 | .... .. ... . |
|    58 | ....  ... ..  .. .... A82 | ....  ... ..  .. .... B80 | ....  ... ..  .. .... B80 | .... .. ... . |
|    59 | ....  ... ..  .. .... AE6 | ....  ... ..  .. .... BC0 | ....  ... ..  .. .... BC0 | .... .. ... . |
|    60 | ....  ... ..  .. .... B4A | 10C3  B-3 AF  41 .... 400 | 0861  B-2 A3  41 .... 400 | .... .. ... . |
|    61 | ....  ... ..  .. .... BAE | ....  ... ..  .. .... 4A0 | ....  ... ..  .. .... 4A0 | .... .. ... . |
|    62 | ....  ... ..  .. .... C12 | ....  ... ..  40 .... 540 | ....  ... ..  40 .... 540 | .... .. ... . |
|    63 | ....  ... ..  .. .... C76 | ....  ... ..  .. .... 5E0 | ....  ... ..  .. .... 5E0 | .... .. ... . |
|    64 | ....  ... ..  .. .... CDA | ....  ... ..  .. .... 680 | ....  ... ..  .. .... 680 | .... .. ... . |
|    65 | ....  ... ..  .. .... D3E | ....  ... ..  .. .... 6E0 | ....  ... ..  .. .... 6E0 | .... .. ... . |
|    66 | ....  ... ..  .. .... DA2 | ....  ... ..  .. .... 740 | ....  ... ..  .. .... 740 | .... .. ... . |
|    67 | ....  ... ..  .. .... E06 | ....  ... ..  .. .... 7A0 | ....  ... ..  .. .... 7A0 | .... .. ... . |
|    68 | ....  ... ..  .. .... E6A | ....  ... ..  .. .... 800 | ....  ... ..  .. .... 800 | .... .. ... . |
|    69 | ....  ... ..  .. .... ECE | ....  ... ..  .. .... 840 | ....  ... ..  .. .... 840 | .... .. ... . |
|    70 | ....  ... ..  .. .... F32 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... 880 | .... .. ... . |
|    71 | ....  ... ..  .. .... ECE | ....  ... ..  .. .... 8C0 | ....  ... ..  .. .... 8C0 | .... .. ... . |
|    72 | ....  ... ..  .. .... E6A | ....  ... ..  .. .... 900 | ....  ... ..  .. .... 900 | .... .. ... . |
|    73 | ....  ... ..  .. .... E06 | ....  ... ..  .. .... 940 | ....  ... ..  .. .... 940 | .... .. ... . |
|    74 | ....  ... ..  .. .... DA2 | ....  ... ..  .. .... 980 | ....  ... ..  .. .... 980 | .... .. ... . |
|    75 | ....  ... ..  .. .... D3E | ....  ... ..  .. .... 9C0 | ....  ... ..  .. .... 9C0 | .... .. ... . |
|    76 | ....  ... ..  .. .... CDA | ....  ... ..  .. .... A00 | ....  ... ..  .. .... A00 | .... .. ... . |
|    77 | ....  ... ..  .. .... C76 | ....  ... ..  .. .... A40 | ....  ... ..  .. .... A40 | .... .. ... . |
|    78 | ....  ... ..  .. .... C12 | ....  ... ..  .. .... A80 | ....  ... ..  .. .... A80 | .... .. ... . |
|    79 | ....  ... ..  .. .... BAE | ....  ... ..  .. .... AC0 | ....  ... ..  .. .... AC0 | .... .. ... . |
|    80 | ....  ... ..  .. .... B4A | ....  ... ..  .. .... B00 | ....  ... ..  .. .... B00 | .... .. ... . |
|    81 | ....  ... ..  .. .... AE6 | ....  ... ..  .. .... B40 | ....  ... ..  .. .... B40 | .... .. ... . |
|    82 | ....  ... ..  .. .... A82 | ....  ... ..  .. .... B80 | ....  ... ..  .. .... B80 | .... .. ... . |
|    83 | ....  ... ..  .. .... A1E | ....  ... ..  .. .... BC0 | ....  ... ..  .. .... BC0 | .... .. ... . |
|    84 | ....  ... ..  .. .... 9BA | ....  ... ..  .. .... C00 | ....  ... ..  .. .... C00 | .... .. ... . |
|    85 | ....  ... ..  .. .... 956 | ....  ... ..  .. .... C40 | ....  ... ..  .. .... C40 | .... .. ... . |
|    86 | ....  ... ..  .. .... 8F2 | ....  ... ..  .. .... C80 | ....  ... ..  .. .... C80 | .... .. ... . |
|    87 | ....  ... ..  .. .... 88E | ....  ... ..  .. .... CC0 | ....  ... ..  .. .... CC0 | .... .. ... . |
|    88 | ....  ... ..  .. .... 82A | ....  ... ..  .. .... D00 | ....  ... ..  .. .... D00 | .... .. ... . |
