Load address: $A200 Init address: $BFBD Play address: $BFC9
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0127  ... ..  00 0000 000 | 1389  D-4 B2  51 0B09 400 | 0000  ... ..  00 0000 000 | 0000 00 Off F |
|     1 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 410 | 3100  ... ..  .. .... ... | .... F0 ... . |
|     2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0B00  ... ..  .. .... ... | .... .. ... . |
|     3 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0900  ... ..  .. .... ... | .... .. ... . |
|     4 | ....  ... ..  .. .... ... | ....  ... ..  50 .... ... | 0700 (G#2 A0) 40 .... ... | .... .. ... . |
|     5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0400 (B-1 97) .. .... ... | .... .. ... . |
|     6 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0300 (F#1 92) .. .... ... | .... .. ... . |
|     7 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0200 (B-0 8B) .. .... ... | .... .. ... . |
|     8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0100 (C-0 80) .. .... ... | .... .. ... . |
|     9 | ....  ... ..  .. .... ... | 13AC (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    10 | ....  ... ..  .. .... ... | 13CF (+ 0023) 40 .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    11 | ....  ... ..  .. .... ... | 13AC (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    12 | ....  ... ..  .. .... ... | 1389 (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    13 | ....  ... ..  .. .... ... | 1366 (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    14 | ....  ... ..  .. .... ... | 1343 (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    15 | ....  ... ..  .. .... ... | 1366 (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    16 | ....  ... ..  .. .... ... | 1389 (+ 0023) .. .... ... | 173B  F-4 B5  51 0B09 400 | .... .. ... . |
|    17 | ....  ... ..  .. .... ... | 13AC (+ 0023) .. .... ... | ....  ... ..  .. .... 410 | .... .. ... . |
|    18 | ....  ... ..  .. .... ... | 13CF (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    19 | ....  ... ..  .. .... ... | 13AC (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    20 | ....  ... ..  .. .... ... | 1389 (- 0023) .. .... ... | ....  ... ..  50 .... ... | .... .. ... . |
|    21 | ....  ... ..  .. .... ... | 1366 (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    22 | ....  ... ..  .. .... ... | 1343 (- 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    23 | ....  ... ..  .. .... ... | 1366 (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    24 | ....  ... ..  .. .... ... | 1389 (+ 0023) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    25 | ....  ... ..  .. .... ... | 13AC (+ 0023) .. .... ... | 1764 (+ 0029) .. .... ... | .... .. ... . |
|    26 | ....  ... ..  .. .... ... | 13CF (+ 0023) .. .... ... | 178D (+ 0029) 40 .... ... | .... .. ... . |
|    27 | ....  ... ..  .. .... ... | 13AC (- 0023) .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|    28 | ....  ... ..  .. .... ... | 1389 (- 0023) .. .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|    29 | ....  ... ..  .. .... ... | 1366 (- 0023) .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|    30 | ....  ... ..  .. .... ... | 1343 (- 0023) .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|    31 | ....  ... ..  .. .... ... | 1366 (+ 0023) .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|    32 | ....  ... ..  .. .... ... | 1D45  A-4 B9  51 .... 400 | 173B (+ 0029) .. .... ... | .... .. ... . |
|    33 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 410 | 1764 (+ 0029) .. .... ... | .... .. ... . |
|    34 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 178D (+ 0029) .. .... ... | .... .. ... . |
|    35 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|    36 | ....  ... ..  .. .... ... | ....  ... ..  50 .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|    37 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|    38 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|    39 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|    40 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 173B (+ 0029) .. .... ... | .... .. ... . |
|    41 | ....  ... ..  .. .... ... | 1D79 (+ 0034) .. .... ... | 1764 (+ 0029) .. .... ... | .... .. ... . |
|    42 | ....  ... ..  .. .... ... | 1DAD (+ 0034) 40 .... ... | 178D (+ 0029) .. .... ... | .... .. ... . |
|    43 | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | 1764 (- 0029) .. .... ... | .... .. ... . |
|    44 | ....  ... ..  .. .... ... | 1D45 (- 0034) .. .... ... | 173B (- 0029) .. .... ... | .... .. ... . |
|    45 | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | 1712 (- 0029) .. .... ... | .... .. ... . |
|    46 | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | 16E9 (- 0029) .. .... ... | .... .. ... . |
|    47 | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | 1712 (+ 0029) .. .... ... | .... .. ... . |
|    48 | ....  ... ..  .. .... ... | 1D45 (+ 0034) .. .... ... | 1389  D-4 B2  51 .... 400 | .... .. ... . |
|    49 | ....  ... ..  .. .... ... | 1D79 (+ 0034) .. .... ... | ....  ... ..  .. .... 410 | .... .. ... . |
|    50 | ....  ... ..  .. .... ... | 1DAD (+ 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    51 | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    52 | ....  ... ..  .. .... ... | 1D45 (- 0034) .. .... ... | ....  ... ..  50 .... ... | .... .. ... . |
|    53 | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    54 | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    55 | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    56 | ....  ... ..  .. .... ... | 1D45 (+ 0034) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    57 | ....  ... ..  .. .... ... | 1D79 (+ 0034) .. .... ... | 13AC (+ 0023) .. .... ... | .... .. ... . |
|    58 | ....  ... ..  .. .... ... | 1DAD (+ 0034) .. .... ... | 13CF (+ 0023) 40 .... ... | .... .. ... . |
|    59 | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | 13AC (- 0023) .. .... ... | .... .. ... . |
|    60 | ....  ... ..  .. .... ... | 1D45 (- 0034) .. .... ... | 1389 (- 0023) .. .... ... | .... .. ... . |
|    61 | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | 1366 (- 0023) .. .... ... | .... .. ... . |
|    62 | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | 1343 (- 0023) .. .... ... | .... .. ... . |
|    63 | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | 1366 (+ 0023) .. .... ... | .... .. ... . |
|    64 | ....  ... ..  .. .... ... | 1A14  G-4 B7  51 .... 400 | 1389 (+ 0023) .. .... ... | .... .. ... . |
|    65 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 410 | 13AC (+ 0023) .. .... ... | .... .. ... . |
|    66 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 13CF (+ 0023) .. .... ... | .... .. ... . |
|    67 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 13AC (- 0023) .. .... ... | .... .. ... . |
|    68 | ....  ... ..  .. .... ... | ....  ... ..  50 .... ... | 1389 (- 0023) .. .... ... | .... .. ... . |
|    69 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1366 (- 0023) .. .... ... | .... .. ... . |
|    70 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1343 (- 0023) .. .... ... | .... .. ... . |
|    71 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1366 (+ 0023) .. .... ... | .... .. ... . |
|    72 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1389 (+ 0023) .. .... ... | .... .. ... . |
|    73 | ....  ... ..  .. .... ... | 1A42 (+ 002E) .. .... ... | 13AC (+ 0023) .. .... ... | .... .. ... . |
|    74 | ....  ... ..  .. .... ... | 1A70 (+ 002E) 40 .... ... | 13CF (+ 0023) .. .... ... | .... .. ... . |
|    75 | ....  ... ..  .. .... ... | 1A42 (- 002E) .. .... ... | 13AC (- 0023) .. .... ... | .... .. ... . |
|    76 | ....  ... ..  .. .... ... | 1A14 (- 002E) .. .... ... | 1389 (- 0023) .. .... ... | .... .. ... . |
|    77 | ....  ... ..  .. .... ... | 19E6 (- 002E) .. .... ... | 1366 (- 0023) .. .... ... | .... .. ... . |
|    78 | ....  ... ..  .. .... ... | 19B8 (- 002E) .. .... ... | 1343 (- 0023) .. .... ... | .... .. ... . |
|    79 | ....  ... ..  .. .... ... | 19E6 (+ 002E) .. .... ... | 1366 (+ 0023) .. .... ... | .... .. ... . |
|    80 | ....  ... ..  .. .... ... | 1A14 (+ 002E) .. .... ... | 1D45  A-4 B9  51 .... 400 | .... .. ... . |
|    81 | ....  ... ..  .. .... ... | 1A42 (+ 002E) .. .... ... | ....  ... ..  .. .... 410 | .... .. ... . |
|    82 | ....  ... ..  .. .... ... | 1A70 (+ 002E) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    83 | ....  ... ..  .. .... ... | 1A42 (- 002E) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    84 | ....  ... ..  .. .... ... | 1A14 (- 002E) .. .... ... | ....  ... ..  50 .... ... | .... .. ... . |
|    85 | ....  ... ..  .. .... ... | 19E6 (- 002E) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    86 | ....  ... ..  .. .... ... | 19B8 (- 002E) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    87 | ....  ... ..  .. .... ... | 19E6 (+ 002E) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    88 | ....  ... ..  .. .... ... | 1A14 (+ 002E) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    89 | ....  ... ..  .. .... ... | 1A42 (+ 002E) .. .... ... | 1D79 (+ 0034) .. .... ... | .... .. ... . |
|    90 | ....  ... ..  .. .... ... | 1A70 (+ 002E) .. .... ... | 1DAD (+ 0034) 40 .... ... | .... .. ... . |
|    91 | ....  ... ..  .. .... ... | 1A42 (- 002E) .. .... ... | 1D79 (- 0034) .. .... ... | .... .. ... . |
|    92 | ....  ... ..  .. .... ... | 1A14 (- 002E) .. .... ... | 1D45 (- 0034) .. .... ... | .... .. ... . |
|    93 | ....  ... ..  .. .... ... | 19E6 (- 002E) .. .... ... | 1D11 (- 0034) .. .... ... | .... .. ... . |
|    94 | ....  ... ..  .. .... ... | 19B8 (- 002E) .. .... ... | 1CDD (- 0034) .. .... ... | .... .. ... . |
|    95 | ....  ... ..  .. .... ... | 19E6 (+ 002E) .. .... ... | 1D11 (+ 0034) .. .... ... | .... .. ... . |
|    96 | ....  ... ..  .. .... ... | 1F03  A#4 BA  51 .... 400 | 1D45 (+ 0034) .. .... ... | .... .. ... . |
|    97 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 410 | 1D79 (+ 0034) .. .... ... | .... .. ... . |
|    98 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1DAD (+ 0034) .. .... ... | .... .. ... . |
|    99 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | .... .. ... . |
|   100 | ....  ... ..  .. .... ... | ....  ... ..  50 .... ... | 1D45 (- 0034) .. .... ... | .... .. ... . |
|   101 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | .... .. ... . |
|   102 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | .... .. ... . |
|   103 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | .... .. ... . |
|   104 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D45 (+ 0034) .. .... ... | .... .. ... . |
|   105 | ....  ... ..  .. .... ... | 1F3A (+ 0037) .. .... ... | 1D79 (+ 0034) .. .... ... | .... .. ... . |
|   106 | ....  ... ..  .. .... ... | 1F71 (+ 0037) 40 .... ... | 1DAD (+ 0034) .. .... ... | .... .. ... . |
|   107 | ....  ... ..  .. .... ... | 1F3A (- 0037) .. .... ... | 1D79 (- 0034) .. .... ... | .... .. ... . |
|   108 | ....  ... ..  .. .... ... | 1F03 (- 0037) .. .... ... | 1D45 (- 0034) .. .... ... | .... .. ... . |
|   109 | ....  ... ..  .. .... ... | 1ECC (- 0037) .. .... ... | 1D11 (- 0034) .. .... ... | .... .. ... . |
|   110 | ....  ... ..  .. .... ... | 1E95 (- 0037) .. .... ... | 1CDD (- 0034) .. .... ... | .... .. ... . |
|   111 | ....  ... ..  .. .... ... | 1ECC (+ 0037) .. .... ... | 1D11 (+ 0034) .. .... ... | .... .. ... . |
|   112 | ....  ... ..  .. .... ... | 1F03 (+ 0037) .. .... ... | 1D45  A-4 B9  51 .... 400 | .... .. ... . |
|   113 | ....  ... ..  .. .... ... | 1F3A (+ 0037) .. .... ... | ....  ... ..  .. .... 410 | .... .. ... . |
|   114 | ....  ... ..  .. .... ... | 1F71 (+ 0037) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   115 | ....  ... ..  .. .... ... | 1F3A (- 0037) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   116 | ....  ... ..  .. .... ... | 1F03 (- 0037) .. .... ... | ....  ... ..  50 .... ... | .... .. ... . |
|   117 | ....  ... ..  .. .... ... | 1ECC (- 0037) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   118 | ....  ... ..  .. .... ... | 1E95 (- 0037) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   119 | ....  ... ..  .. .... ... | 1ECC (+ 0037) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   120 | ....  ... ..  .. .... ... | 1F03 (+ 0037) .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|   121 | ....  ... ..  .. .... ... | 1F3A (+ 0037) .. .... ... | 1D79 (+ 0034) .. .... ... | .... .. ... . |
|   122 | ....  ... ..  .. .... ... | 1F71 (+ 0037) .. .... ... | 1DAD (+ 0034) 40 .... ... | .... .. ... . |
|   123 | ....  ... ..  .. .... ... | 1F3A (- 0037) .. .... ... | 1D79 (- 0034) .. .... ... | .... .. ... . |
|   124 | ....  ... ..  .. .... ... | 1F03 (- 0037) .. .... ... | 1D45 (- 0034) .. .... ... | .... .. ... . |
|   125 | ....  ... ..  .. .... ... | 1ECC (- 0037) .. .... ... | 1D11 (- 0034) .. .... ... | .... .. ... . |
|   126 | ....  ... ..  .. .... ... | 1E95 (- 0037) .. .... ... | 1CDD (- 0034) .. .... ... | .... .. ... . |
|   127 | ....  ... ..  .. .... ... | 1ECC (+ 0037) .. .... ... | 1D11 (+ 0034) .. .... ... | .... .. ... . |
|   128 | ....  ... ..  .. .... ... | 1389  D-4 B2  51 .... 400 | 1D45 (+ 0034) .. .... ... | .... .. ... . |
|   129 | ....  ... ..  .. .... ... | ....  ... ..  .. .... 410 | 1D79 (+ 0034) .. .... ... | .... .. ... . |
|   130 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1DAD (+ 0034) .. .... ... | .... .. ... . |
|   131 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D79 (- 0034) .. .... ... | .... .. ... . |
|   132 | ....  ... ..  .. .... ... | ....  ... ..  50 .... ... | 1D45 (- 0034) .. .... ... | .... .. ... . |
|   133 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D11 (- 0034) .. .... ... | .... .. ... . |
|   134 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1CDD (- 0034) .. .... ... | .... .. ... . |
|   135 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D11 (+ 0034) .. .... ... | .... .. ... . |
|   136 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 1D45 (+ 0034) .. .... ... | .... .. ... . |
|   137 | ....  ... ..  .. .... ... | 13AC (+ 0023) .. .... ... | 1D79 (+ 0034) .. .... ... | .... .. ... . |
|   138 | ....  ... ..  .. .... ... | 13CF (+ 0023) 40 .... ... | 1DAD (+ 0034) .. .... ... | .... .. ... . |
