Load address: $8000 Init address: $8000 Play address: $8003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 9000 04 Low F |
|     1 | 173B  F-4 B5  41 0F06 484 | 173B  F-4 B5  21 450D 848 | 173B  ... ..  .. .... ... | .... 00 ... . |
|     2 | 2E76 (F-5 C1) .. .... 514 | ....  ... ..  .. .... 888 | 174B  ... ..  .. .... ... | .... .. ... . |
|     3 | 22CF (C-5 BC) .. .... 5A4 | 175E (+ 0023) .. .... 8C8 | 175B  ... ..  .. .... ... | .... .. ... . |
|     4 | 1BA0 (G#4 B8) 40 .... 634 | 1781 (+ 0023) 20 .... 908 | 176B  ... ..  .. .... ... | .... .. ... . |
|     5 | 173B (F-4 B5) .. .... 6C4 | 175E (- 0023) .. .... 948 | 177B  ... ..  .. .... ... | .... .. ... . |
|     6 | ....  ... ..  .. .... ... | 173B (- 0023) .. .... 988 | 178B  ... ..  .. .... ... | .... .. ... . |
|     7 | 173B  F-4 B5  41 .... 484 | 170D (- 002E) .. .... 9C8 | 179B  ... ..  .. .... ... | .... .. ... . |
|     8 | 2E76 (F-5 C1) .. .... 514 | 16DF (- 002E) .. .... 988 | 17AB  ... ..  .. .... ... | .... .. ... . |
|     9 | 22CF (C-5 BC) .. .... 5A4 | 170D (+ 002E) .. .... 948 | 17BB  ... ..  .. .... ... | .... .. ... . |
|    10 | 1BA0 (G#4 B8) 40 .... 634 | 173B (+ 002E) .. .... 908 | 17CB  ... ..  .. .... ... | .... .. ... . |
|    11 | 173B (F-4 B5) .. .... 6C4 | 1774 (+ 0039) .. .... 8C8 | 17DB  ... ..  .. .... ... | .... .. ... . |
|    12 | ....  ... ..  .. .... ... | 17AD (+ 0039) .. .... 888 | 17EB  ... ..  .. .... ... | .... .. ... . |
|    13 | 173B  F-4 B5  41 .... 484 | 1774 (- 0039) .. .... 848 | 17FB  ... ..  .. .... ... | .... .. ... . |
|    14 | 2E76 (F-5 C1) .. .... 514 | 173B (- 0039) .. .... 888 | 180B  ... ..  .. .... ... | .... .. ... . |
|    15 | 22CF (C-5 BC) .. .... 5A4 | 16F7 (- 0044) .. .... 8C8 | 181B  ... ..  .. .... ... | .... .. ... . |
|    16 | 1BA0 (G#4 B8) 40 .... 634 | 16B3 (- 0044) .. .... 908 | 182B  ... ..  .. .... ... | .... .. ... . |
|    17 | 173B (F-4 B5) .. .... 6C4 | 16F7 (+ 0044) .. .... 948 | 183B  ... ..  .. .... ... | .... .. ... . |
|    18 | ....  ... ..  .. .... ... | 173B (+ 0044) .. .... 988 | 184B  ... ..  .. .... ... | .... .. ... . |
|    19 | 173B  F-4 B5  41 .... 484 | 178A (+ 004F) .. .... 9C8 | 185B  ... ..  .. .... ... | .... .. ... . |
|    20 | 2E76 (F-5 C1) .. .... 514 | 17D9 (+ 004F) .. .... 988 | 186B  ... ..  .. .... ... | .... .. ... . |
|    21 | 22CF (C-5 BC) .. .... 5A4 | 178A (- 004F) .. .... 948 | 187B  ... ..  .. .... ... | .... .. ... . |
|    22 | 1BA0 (G#4 B8) 40 .... 634 | 173B (- 004F) .. .... 908 | 188B  ... ..  .. .... ... | .... .. ... . |
|    23 | 173B (F-4 B5) .. .... 6C4 | 16E1 (- 005A) .. .... 8C8 | 189B  ... ..  .. .... ... | .... .. ... . |
|    24 | ....  ... ..  .. .... ... | 1687 (E-4 B4) .. .... 888 | 18AB  ... ..  .. .... ... | .... .. ... . |
|    25 | 0116  ... ..  00 0000 000 | 16E1 (F-4 B5) .. .... 848 | 18BB  ... ..  .. .... ... | .... .. ... . |
