Load address: $AF80 Init address: $BFF8 Play address: $B000
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 15ED  ... ..  01 00E4 800 | 0938  C#3 A5  41 FE5A 200 | 0627  F#2 9E  41 DD7E 000 | 9000 00 Off F |
|     1 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | ....  ... ..  .. .... 030 | F000 F1 Low . |
|     2 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | ....  ... ..  .. .... 060 | .... .. ... . |
|     3 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | ....  ... ..  .. .... 090 | .... .. ... . |
|     4 | 0100 (C-0 80) 40 .... ... | 0627 (F#2 9E) .. .... 200 | ....  ... ..  .. .... 0C0 | .... .. ... . |
|     5 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | ....  ... ..  .. .... 0F0 | .... .. ... . |
|     6 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | ....  ... ..  .. .... 120 | .... .. ... . |
|     7 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | ....  ... ..  .. .... 140 | .... .. ... . |
|     8 | 15ED  ... ..  01 00E5 ... | 0938 (C#3 A5) .. .... 200 | ....  ... ..  .. .... 160 | .... .. ... . |
|     9 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | ....  ... ..  .. .... 180 | EF00 .. ... . |
|    10 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | ....  ... ..  .. .... 1A0 | EE00 .. ... . |
|    11 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 1C0 | ED00 .. ... . |
|    12 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 063D (+ 000B) .. .... 1E0 | EC00 .. ... . |
|    13 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 200 | EB00 .. ... . |
|    14 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 220 | EA00 .. ... . |
|    15 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 240 | E900 .. ... . |
|    16 | 15ED  ... ..  01 00D5 ... | 1270 (C#4 B1) .. .... 200 | 0627 (- 000B) .. .... 260 | .... .. ... . |
|    17 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... 280 | EF00 .. ... . |
|    18 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 2A0 | EE00 .. ... . |
|    19 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 2C0 | ED00 .. ... . |
|    20 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 0627 (+ 000B) .. .... 2E0 | EC00 .. ... . |
|    21 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 300 | EB00 .. ... . |
|    22 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 320 | EA00 .. ... . |
|    23 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 340 | E900 .. ... . |
|    24 | 15ED  ... ..  01 0095 ... | 24E1 (C#5 BD) .. .... 200 | 063D (- 000B) .. .... 360 | .... .. ... . |
|    25 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0632 (- 000B) .. .... 380 | EF00 .. ... . |
|    26 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0627 (- 000B) .. .... 3A0 | EE00 .. ... . |
|    27 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 061C (- 000B) .. .... 3C0 | ED00 .. ... . |
|    28 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 0611 (- 000B) .. .... 3E0 | EC00 .. ... . |
|    29 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 061C (+ 000B) .. .... 400 | EB00 .. ... . |
|    30 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0627 (+ 000B) .. .... 420 | EA00 .. ... . |
|    31 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 440 | E900 .. ... . |
|    32 | 15ED  ... ..  01 0055 ... | 1270 (C#4 B1) .. .... 200 | 063D (+ 000B) .. .... 460 | .... .. ... . |
|    33 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 480 | EF00 .. ... . |
|    34 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 4A0 | EE00 .. ... . |
|    35 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 4C0 | ED00 .. ... . |
|    36 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 0627 (- 000B) .. .... 4E0 | EC00 .. ... . |
|    37 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 061C (- 000B) .. .... 500 | EB00 .. ... . |
|    38 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0611 (- 000B) .. .... 520 | EA00 .. ... . |
|    39 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (+ 000B) .. .... 540 | E900 .. ... . |
|    40 | 15ED  ... ..  01 0015 ... | 0938 (C#3 A5) .. .... 200 | 0627 (+ 000B) .. .... 560 | .... .. ... . |
|    41 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 0632 (+ 000B) .. .... 580 | EF00 .. ... . |
|    42 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 063D (+ 000B) .. .... 5A0 | EE00 .. ... . |
|    43 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0648 (+ 000B) .. .... 5C0 | ED00 .. ... . |
|    44 | 0100 (C-0 80) 40 .... ... | 189D (F#4 B6) .. .... 200 | 063D (- 000B) .. .... 5E0 | EC00 .. ... . |
|    45 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0632 (- 000B) .. .... 600 | EB00 .. ... . |
|    46 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 0627 (- 000B) .. .... 620 | EA00 .. ... . |
|    47 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 061C (- 000B) .. .... 640 | E900 .. ... . |
|    48 | 0AF7  ... ..  01 00E4 ... | 0938 (C#3 A5) .. .... 200 | 0611 (- 000B) .. .... 660 | .... .. ... . |
|    49 | 4F00  D-6 CA  81 .... ... | ....  ... ..  .. .... 2F0 | 061C (+ 000B) .. .... 680 | F000 .. ... . |
|    50 | 0A00 (D-3 A6) 41 .... ... | ....  ... ..  .. .... 3E0 | 0627 (+ 000B) .. .... 6A0 | .... .. ... . |
|    51 | 0700 (G#2 A0) .. .... ... | ....  ... ..  .. .... 4D0 | 0632 (+ 000B) .. .... 6C0 | .... .. ... . |
|    52 | 0100 (C-0 80) 40 .... ... | 0C4E (F#3 AA) .. .... 200 | 063D (+ 000B) .. .... 6E0 | .... .. ... . |
|    53 | 0400 (B-1 97) .. .... ... | ....  ... ..  .. .... 2F0 | 0648 (+ 000B) .. .... 700 | .... .. ... . |
|    54 | 0500 (D-2 9A) .. .... ... | ....  ... ..  .. .... 3E0 | 063D (- 000B) .. .... 720 | .... .. ... . |
|    55 | 0300 (F#1 92) 10 .... ... | ....  ... ..  .. .... 4D0 | 0632 (- 000B) .. .... 740 | .... .. ... . |
|    56 | 0200 (B-0 8B) .. .... ... | 1270 (C#4 B1) .. .... 200 | 0627 (- 000B) .. .... 760 | .... .. ... . |
