Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 037C  ... ..  00 0000 810 | 037C  ... ..  00 0000 810 | 037C  ... ..  00 0000 810 | 1100 00 Off F |
|     1 | 029E  ... ..  .. .... 818 | 029E  ... ..  .. .... 818 | 029E  ... ..  .. .... 818 | 1900 .. ... . |
|     2 | 0235  ... ..  .. .... 820 | 0235  ... ..  .. .... 820 | 0235  ... ..  .. .... 820 | 2100 .. ... . |
|     3 | 01C2  ... ..  .. .... 828 | 01C2  ... ..  .. .... 828 | 01C2  ... ..  .. .... 828 | 2900 .. ... . |
|     4 | 037C  ... ..  .. .... 830 | 037C  ... ..  .. .... 830 | 037C  ... ..  .. .... 830 | 3100 .. ... . |
|     5 | 029E  ... ..  .. .... 838 | 029E  ... ..  .. .... 838 | 029E  ... ..  .. .... 838 | 3900 .. ... . |
|     6 | 0235  ... ..  .. .... 840 | 0235  ... ..  .. .... 840 | 0235  ... ..  .. .... 840 | 4100 .. ... . |
|     7 | 1389  D-4 B2  41 0506 800 | 01C2  ... ..  08 .... ... | 01C2  ... ..  08 .... ... | 4900 08 ... . |
|     8 | 118A (C-4 B0) .. .... ... | 037C  ... ..  .. .... 838 | 037C  ... ..  .. .... 838 | 3F00 .. ... . |
|     9 | 0F8B (A#3 AE) .. .... ... | 029E  ... ..  .. .... 830 | 029E  ... ..  .. .... 830 | 3700 .. ... . |
|    10 | 0D8C (G#3 AC) .. .... ... | 0235  ... ..  .. .... 828 | 0235  ... ..  .. .... 828 | 3F00 .. ... . |
|    11 | 0B8D (F-3 A9) .. .... ... | 01C2  ... ..  .. .... 820 | 01C2  ... ..  .. .... 820 | 2700 .. ... . |
|    12 | 098E (D-3 A6) .. .... ... | 037C  ... ..  .. .... 818 | 037C  ... ..  .. .... 818 | 1D00 .. ... . |
|    13 | 1389 (D-4 B2) .. .... ... | 029E  ... ..  .. .... 810 | 029E  ... ..  .. .... 810 | 1500 .. ... . |
|    14 | 118A (C-4 B0) .. .... ... | 0235  ... ..  .. .... 808 | 0235  ... ..  .. .... 808 | 1D00 .. ... . |
|    15 | 0F8B (A#3 AE) .. .... ... | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | 0500 .. ... . |
|    16 | 0D8C (G#3 AC) .. .... ... | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    17 | 0B8D (F-3 A9) .. .... ... | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    18 | 098E (D-3 A6) .. .... ... | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
