Load address: $A000 Init address: $C000 Play address: $C020
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 037C  ... ..  00 0000 810 | 037C  ... ..  00 0000 810 | 037C  ... ..  00 0000 810 | 1100 00 Off F |
|     1 | 029E  ... ..  .. .... 818 | 029E  ... ..  .. .... 818 | 029E  ... ..  .. .... 818 | 1900 .. ... . |
|     2 | 0235  ... ..  .. .... 820 | 0235  ... ..  .. .... 820 | 0235  ... ..  .. .... 820 | 2100 .. ... . |
|     3 | 01C2  ... ..  .. .... 828 | 01C2  ... ..  .. .... 828 | 01C2  ... ..  .. .... 828 | 2900 .. ... . |
|     4 | 037C  ... ..  .. .... 830 | 037C  ... ..  .. .... 830 | 037C  ... ..  .. .... 830 | 3100 .. ... . |
|     5 | 029E  ... ..  .. .... 838 | 029E  ... ..  .. .... 838 | 029E  ... ..  .. .... 838 | 3900 .. ... . |
|     6 | 0235  ... ..  .. .... 840 | 0235  ... ..  .. .... 840 | 0235  ... ..  .. .... 840 | 4100 .. ... . |
|     7 | 2965  D#5 BF  41 CB09 660 | 01C2  ... ..  08 .... ... | 01C2  ... ..  08 .... ... | 4900 08 ... . |
|     8 | ....  ... ..  .. .... 680 | 037C  ... ..  .. .... 838 | 037C  ... ..  .. .... 838 | 3F00 .. ... . |
|     9 | ....  ... ..  .. .... 6A0 | 029E  ... ..  .. .... 830 | 029E  ... ..  .. .... 830 | 3700 .. ... . |
|    10 | ....  ... ..  .. .... 6C0 | 0235  ... ..  .. .... 828 | 0235  ... ..  .. .... 828 | 3F00 .. ... . |
|    11 | 2925 (- 0040) .. .... 6E0 | 01C2  ... ..  .. .... 820 | 01C2  ... ..  .. .... 820 | 2700 .. ... . |
|    12 | ....  ... ..  .. .... 700 | 037C  ... ..  .. .... 818 | 037C  ... ..  .. .... 818 | 1D00 .. ... . |
|    13 | 28E5 (- 0040) .. .... 720 | 029E  ... ..  .. .... 810 | 029E  ... ..  .. .... 810 | 1500 .. ... . |
|    14 | 2925 (+ 0040) .. .... 740 | 0235  ... ..  .. .... 808 | 0235  ... ..  .. .... 808 | 1D00 .. ... . |
|    15 | 2965 (+ 0040) .. .... 760 | 01C2  ... ..  .. .... ... | 01C2  ... ..  .. .... ... | 0500 .. ... . |
|    16 | 29A5 (+ 0040) .. .... 780 | 037C  ... ..  .. .... ... | 037C  ... ..  .. .... ... | .... .. ... . |
|    17 | 29E5 (+ 0040) .. .... 7A0 | 029E  ... ..  .. .... ... | 029E  ... ..  .. .... ... | .... .. ... . |
|    18 | 2A25 (+ 0040) .. .... 7C0 | 0235  ... ..  .. .... ... | 0235  ... ..  .. .... ... | .... .. ... . |
