Load address: $A000 Init address: $A000 Play address: $A04E
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0CD8  G-3 AB  21 01A9 000 | 0000 00 Off F |
|     1 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|     3 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     4 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     5 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     6 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|     7 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|     9 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    10 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    11 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    12 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    13 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    14 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    15 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    16 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    17 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    18 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    19 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    20 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    21 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    22 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    23 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    24 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    25 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    26 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    27 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|    28 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|    29 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|    30 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    31 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    32 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    33 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    34 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    35 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    36 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    37 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    38 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    39 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD0 (- 0008) .. .... ... | .... .. ... . |
|    40 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC8 (- 0008) .. .... ... | .... .. ... . |
|    41 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CC0 (- 0008) .. .... ... | .... .. ... . |
|    42 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    43 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    44 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    45 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    46 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    47 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    48 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | 0CD8  G-3 AB  21 .... ... | .... .. ... . |
|    49 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    50 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  20 .... ... | .... .. ... . |
|    51 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    52 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
