Load address: $8000 Init address: $8000 Play address: $8003
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 1BA0  G#4 B8  41 0A0A 848 | 0000  ... ..  00 0000 000 | 9300 00 Low F |
|     1 | 22CF  C-5 BC  15 0F0A 099 | ....  ... ..  .. .... ... | 0116  C-0 80  41 0F05 808 | .... .. ... . |
|     2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     3 | 8B3B (C-7 D4) .. .... ... | 3741 (G#5 C4) .. .... 8D8 | ....  ... ..  .. .... ... | .... .. ... . |
|     4 | ....  ... ..  .. .... 1C2 | 2953 (D#5 BF) .. .... 968 | 4116 (B-5 C7) 81 .... ... | .... .. ... . |
|     5 | 90DE (C#7 D5) .. .... 2EB | 20DB (B-4 BB) 40 .... 9F8 | 0916 (C#3 A5) 41 .... ... | .... .. ... . |
|     6 | 9681 (+ 05A3) 14 .... 414 | 1BA0 (G#4 B8) .. .... A88 | 0716 (G#2 A0) 40 .... ... | .... .. ... . |
|     7 | 9C24 (D-7 D6) .. .... 53D | 3741 (G#5 C4) .. .... B18 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|     8 | 9681 (C#7 D5) .. .... 666 | 2953 (D#5 BF) .. .... BA8 | ....  ... ..  .. .... ... | .... .. ... . |
|     9 | 90DE (- 05A3) .. .... 78F | 20DB (B-4 BB) .. .... C38 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    10 | 8B3B (C-7 D4) .. .... 8B8 | 1BA0 (G#4 B8) .. .... CC8 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    11 | 858D (B-6 D3) .. .... 9E1 | 3741 (G#5 C4) .. .... D58 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    12 | 7FDF (- 05AE) .. .... B0A | 2953 (D#5 BF) .. .... CC8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
|    13 | 7A31 (A#6 D2) .. .... B13 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    14 | 7FDF (B-6 D3) .. .... B1C | 1BA0  G#4 B8  41 .... 848 | 4116 (B-5 C7) 80 .... ... | .... .. ... . |
|    15 | 858D (+ 05AE) .. .... B25 | 3741 (G#5 C4) .. .... 8D8 | 0916 (C#3 A5) 40 .... ... | .... .. ... . |
|    16 | 8B3B (C-7 D4) .. .... B2E | 2953 (D#5 BF) .. .... 968 | 0716 (G#2 A0) .. .... ... | .... .. ... . |
|    17 | 90F4 (C#7 D5) .. .... B37 | 20DB (B-4 BB) 40 .... 9F8 | 0516 (D#2 9B) .. .... ... | .... .. ... . |
