Load address: $A400 Init address: $BFC0 Play address: $BFE0
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 2DC6  F-5 C1  21 11A9 800 | 0000  ... ..  00 0000 000 | 0000  ... ..  00 0000 000 | 0000 00 Off F |
|     1 | 2EC0 (+ 00FA) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     2 | 2FBA (+ 00FA) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     3 | 30B4 (F#5 C2) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     4 | 2FBA (F-5 C1) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     5 | 2EC0 (- 00FA) .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     6 | 2DC6 (- 00FA) .. .... 864 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     7 | 2E02 (+ 003C) 20 .... 8C8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     8 | 2E3E (+ 003C) .. .... 92C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|     9 | 2E7A (+ 003C) .. .... 990 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    10 | 2E3E (- 003C) .. .... 9F4 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    11 | 2E02 (- 003C) .. .... A58 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    12 | 2DC6 (- 003C) .. .... ABC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    13 | ....  ... ..  .. .... B20 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    14 | ....  ... ..  .. .... B84 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    15 | ....  ... ..  .. .... BE8 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    16 | ....  ... ..  .. .... C4C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    17 | ....  ... ..  .. .... CB0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    18 | ....  ... ..  .. .... D14 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    19 | ....  ... ..  .. .... D78 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    20 | ....  ... ..  .. .... DDC | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    21 | ....  ... ..  .. .... E40 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    22 | ....  ... ..  .. .... EA4 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    23 | ....  ... ..  .. .... F08 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    24 | ....  ... ..  .. .... F6C | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    25 | ....  ... ..  .. .... FD0 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
|    26 | ....  ... ..  .. .... 034 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | .... .. ... . |
