Load address: $4200 Init address: $4ED3 Play address: $4EDF
Calling initroutine with subtune 0
Calling playroutine for 3000 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
+-------+---------------------------+---------------------------+---------------------------+---------------+
|     0 | 0000  ... ..  00 0000 000 | 14B2  D#4 B3  11 01AA 800 | 2965  D#5 BF  41 01DA A00 | E400 00 Off F |
|     1 | 00B2  ... ..  .. .... ... | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | 9E00 F4 Low . |
|     2 | ....  ... ..  .. .... ... | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | 9C00 .. ... . |
|     3 | ....  ... ..  .. .... ... | 14C4 (+ 0012) 10 .... ... | ....  ... ..  40 .... 9A0 | 9A00 .. ... . |
|     4 | ....  ... ..  .. .... ... | 14D6 (+ 0012) .. .... ... | ....  ... ..  .. .... 940 | 9800 .. ... . |
|     5 | ....  ... ..  .. .... ... | 14C4 (- 0012) .. .... ... | ....  ... ..  .. .... 8E0 | 9600 .. ... . |
|     6 | ....  ... ..  .. .... ... | 14B2 (- 0012) 40 .... ... | ....  ... ..  .. .... 880 | 9400 .. ... . |
|     7 | ....  ... ..  .. .... ... | 14A0 (- 0012) .. .... ... | ....  ... ..  .. .... 840 | 9200 .. ... . |
|     8 | ....  ... ..  .. .... ... | 148E (- 0012) .. .... ... | ....  ... ..  .. .... 800 | 9000 .. ... . |
|     9 | ....  ... ..  .. .... ... | 14A0 (+ 0012) .. .... ... | ....  ... ..  .. .... 7C0 | 8E00 .. ... . |
|    10 | ....  ... ..  .. .... ... | 14B2 (+ 0012) .. .... ... | 29F9 (+ 0094) .. .... 780 | 8C00 .. ... . |
|    11 | ....  ... ..  .. .... ... | 14C4 (+ 0012) .. .... ... | 2A8D (+ 0094) .. .... 740 | 8A00 .. ... . |
|    12 | 14B2  D#4 B3  11 00AA 100 | 1270  C#4 B1  11 .... 800 | 24E1  C#5 BD  41 .... A00 | .... .. ... . |
|    13 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | 8800 .. ... . |
|    14 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | 8600 .. ... . |
|    15 | 14C4 (+ 0012) 10 .... 240 | 1280 (+ 0010) 10 .... ... | ....  ... ..  40 .... 9A0 | 8400 .. ... . |
|    16 | 14D6 (+ 0012) .. .... 280 | 1290 (+ 0010) .. .... ... | ....  ... ..  .. .... 940 | 8600 .. ... . |
|    17 | 14C4 (- 0012) .. .... 2C0 | 1280 (- 0010) .. .... ... | ....  ... ..  .. .... 8E0 | 8800 .. ... . |
|    18 | 14B2 (- 0012) 40 .... 300 | 1270 (- 0010) 40 .... ... | ....  ... ..  .. .... 880 | 8A00 .. ... . |
|    19 | 14A0 (- 0012) .. .... 340 | 1260 (- 0010) .. .... ... | ....  ... ..  .. .... 840 | 8C00 .. ... . |
|    20 | 148E (- 0012) .. .... 380 | 1250 (- 0010) .. .... ... | ....  ... ..  .. .... 800 | 8E00 .. ... . |
|    21 | 14A0 (+ 0012) .. .... 3C0 | 1260 (+ 0010) .. .... ... | ....  ... ..  .. .... 7C0 | 9000 .. ... . |
|    22 | 14B2 (+ 0012) .. .... 400 | 1270 (+ 0010) .. .... ... | 2565 (+ 0084) .. .... 780 | 9200 .. ... . |
|    23 | 14C4 (+ 0012) .. .... 440 | 1280 (+ 0010) .. .... ... | 25E9 (+ 0084) .. .... 740 | 9400 .. ... . |
|    24 | 1270  C#4 B1  11 .... 100 | 0DD0  G#3 AC  11 .... 800 | 1BA0  G#4 B8  41 .... A00 | .... .. ... . |
|    25 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | 9600 .. ... . |
|    26 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | 9800 .. ... . |
|    27 | 1280 (+ 0010) 10 .... 240 | 0DDC (+ 000C) 10 .... ... | ....  ... ..  40 .... 9A0 | 9A00 .. ... . |
|    28 | 1290 (+ 0010) .. .... 280 | 0DE8 (+ 000C) .. .... ... | ....  ... ..  .. .... 940 | 9C00 .. ... . |
|    29 | 1280 (- 0010) .. .... 2C0 | 0DDC (- 000C) .. .... ... | ....  ... ..  .. .... 8E0 | 9E00 .. ... . |
|    30 | 1270 (- 0010) 40 .... 300 | 0F81  A#3 AE  11 .... 800 | 1F03  A#4 BA  41 .... A00 | .... .. ... . |
|    31 | 1260 (- 0010) .. .... 340 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | A000 .. ... . |
|    32 | 1250 (- 0010) .. .... 380 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | A200 .. ... . |
|    33 | 1260 (+ 0010) .. .... 3C0 | 0F8E (+ 000D) 10 .... ... | ....  ... ..  40 .... 9A0 | A400 .. ... . |
|    34 | 1270 (+ 0010) .. .... 400 | 0F9B (+ 000D) .. .... ... | ....  ... ..  .. .... 940 | A600 .. ... . |
|    35 | 1280 (+ 0010) .. .... 440 | 0F8E (- 000D) .. .... ... | ....  ... ..  .. .... 8E0 | A800 .. ... . |
|    36 | 1BA0  G#4 B8  11 .... 100 | 1270  C#4 B1  11 .... 800 | 24E1  C#5 BD  41 .... A00 | .... .. ... . |
|    37 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | AA00 .. ... . |
|    38 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | AC00 .. ... . |
|    39 | 1BB8 (+ 0018) 10 .... 240 | 1280 (+ 0010) 10 .... ... | ....  ... ..  40 .... 9A0 | AE00 .. ... . |
|    40 | 1BD0 (+ 0018) .. .... 280 | 1290 (+ 0010) .. .... ... | ....  ... ..  .. .... 940 | B000 .. ... . |
|    41 | 1BB8 (- 0018) .. .... 2C0 | 1280 (- 0010) .. .... ... | ....  ... ..  .. .... 8E0 | B200 .. ... . |
|    42 | 1F03  A#4 BA  11 .... 100 | 0F81  A#3 AE  11 .... 800 | 1F03  A#4 BA  41 .... A00 | .... .. ... . |
|    43 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | B400 .. ... . |
|    44 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | B600 .. ... . |
|    45 | 1F1E (+ 001B) 10 .... 240 | 0F8E (+ 000D) 10 .... ... | ....  ... ..  40 .... 9A0 | B800 .. ... . |
|    46 | 1F39 (+ 001B) .. .... 280 | 0F9B (+ 000D) .. .... ... | ....  ... ..  .. .... 940 | BA00 .. ... . |
|    47 | 1F1E (- 001B) .. .... 2C0 | 0F8E (- 000D) .. .... ... | ....  ... ..  .. .... 8E0 | BC00 .. ... . |
|    48 | 0938  C#3 A5  11 .... 100 | 14B2  D#4 B3  11 .... 800 | 2965  D#5 BF  41 .... A00 | .... .. ... . |
|    49 | ....  ... ..  .. .... 1C0 | ....  ... ..  .. .... 880 | ....  ... ..  .. .... A60 | BE00 .. ... . |
|    50 | ....  ... ..  .. .... 200 | ....  ... ..  .. .... ... | ....  ... ..  .. .... A00 | C000 .. ... . |
|    51 | 0940 (+ 0008) 10 .... 240 | 14C4 (+ 0012) 10 .... ... | ....  ... ..  40 .... 9A0 | C200 .. ... . |
|    52 | 0948 (+ 0008) .. .... 280 | 14D6 (+ 0012) .. .... ... | ....  ... ..  .. .... 940 | C400 .. ... . |
|    53 | 0940 (- 0008) .. .... 2C0 | 14C4 (- 0012) .. .... ... | ....  ... ..  .. .... 8E0 | C600 .. ... . |
|    54 | 0F81  A#3 AE  11 .... 100 | 14B2 (- 0012) 40 .... ... | ....  ... ..  .. .... 880 | C800 .. ... . |
|    55 | ....  ... ..  .. .... 1C0 | 14A0 (- 0012) .. .... ... | ....  ... ..  .. .... 840 | CA00 .. ... . |
|    56 | ....  ... ..  .. .... 200 | 148E (- 0012) .. .... ... | ....  ... ..  .. .... 800 | CC00 .. ... . |
